143.252.56.232,192.168.11.128,2084,2041,1,0,2084,0,0,0,0,0,0,0
143.252.56.232,192.168.11.128,2066,2034,1,0,2066,0,0,0,0,0,0,0
143.252.56.232,192.168.11.128,2015,1986,1,0,2015,0,0,0,0,0,0,0
192.168.11.254,192.168.11.128,0,0,0,0,0,0,0,0,1,1,1,0
143.252.56.232,192.168.11.128,1868,1842,1,0,1868,0,0,0,0,0,0,0
143.252.56.232,192.168.11.128,1992,1956,1,0,1992,0,0,0,0,0,0,0
143.252.56.232,192.168.11.128,2269,2238,1,0,2269,0,0,0,0,0,0,0
143.252.56.232,192.168.11.128,1810,1783,1,0,1810,0,0,0,0,0,0,0
143.252.56.232,192.168.11.128,2173,2127,1,0,2173,0,0,0,0,0,0,0
143.252.56.232,192.168.11.128,2168,2120,1,0,2168,0,0,0,0,0,0,0
143.252.56.232,192.168.11.128,1720,1701,1,0,1720,0,0,0,0,0,0,0
143.252.56.232,192.168.11.128,2065,2035,1,0,2065,0,0,0,0,0,0,0
143.252.56.232,192.168.11.128,1934,1907,1,0,1934,0,0,0,0,0,0,0
143.252.56.232,192.168.11.128,2038,2014,1,0,2038,0,0,0,0,0,0,0
143.252.56.232,192.168.11.128,1900,1866,1,0,1900,0,0,0,0,0,0,0
143.252.56.232,192.168.11.128,2051,2021,1,0,2051,0,0,0,0,0,0,0
143.252.56.232,192.168.11.128,2218,2184,1,0,2218,0,0,0,0,0,0,0
143.252.56.232,192.168.11.128,2067,2032,1,0,2067,0,0,0,0,0,0,0
143.252.56.232,192.168.11.128,2039,1997,1,0,2039,0,0,0,0,0,0,0
143.252.56.232,192.168.11.128,2035,1993,1,0,2035,0,0,0,0,0,0,0
143.252.56.232,192.168.11.128,2093,2055,1,0,2093,0,0,0,0,0,0,0
143.252.56.232,192.168.11.128,1946,1906,1,0,1946,0,0,0,0,0,0,0
143.252.56.232,192.168.11.128,2046,2028,1,0,2046,0,0,0,0,0,0,0
143.252.56.232,192.168.11.128,1776,1758,1,0,1776,0,0,0,0,0,0,0
143.252.56.232,192.168.11.128,2227,2198,1,0,2227,0,0,0,0,0,0,0
143.252.56.232,192.168.11.128,2007,1974,1,0,2007,0,0,0,0,0,0,0
143.252.56.232,192.168.11.128,2008,1981,1,0,2008,0,0,0,0,0,0,0
143.252.56.232,192.168.11.128,2057,2022,1,0,2057,0,0,0,0,0,0,0
143.252.56.232,192.168.11.128,2163,2125,1,0,2163,0,0,0,0,0,0,0
143.252.56.232,192.168.11.128,2190,2153,1,0,2190,0,0,0,0,0,0,0
143.252.56.232,192.168.11.128,2214,2180,1,0,2214,0,0,0,0,0,0,0
143.252.56.232,192.168.11.128,2074,2035,1,0,2074,0,0,0,0,0,0,0
143.252.56.232,192.168.11.128,1987,1957,1,0,1987,0,0,0,0,0,0,0
143.252.56.232,192.168.11.128,2063,2035,1,0,2063,0,0,0,0,0,0,0
143.252.56.232,192.168.11.128,1971,1945,1,0,1971,0,0,0,0,0,0,0
143.252.56.232,192.168.11.128,1677,1657,1,0,1677,0,0,0,0,0,0,0
143.252.56.232,192.168.11.128,1850,1820,1,0,1850,0,0,0,0,0,0,0
143.252.56.232,192.168.11.128,2052,2018,1,0,2052,0,0,0,0,0,0,0
143.252.56.232,192.168.11.128,2049,2015,1,0,2049,0,0,0,0,0,0,0
143.252.56.232,192.168.11.128,1961,1932,1,0,1961,0,0,0,0,0,0,0
143.252.56.232,192.168.11.128,2055,2023,1,0,2055,0,0,0,0,0,0,0
143.252.56.232,192.168.11.128,2014,1981,1,0,2014,0,0,0,0,0,0,0
143.252.56.232,192.168.11.128,2073,2023,1,0,2073,0,0,0,0,0,0,0
143.252.56.232,192.168.11.128,2154,2120,1,0,2154,0,0,0,0,0,0,0
143.252.56.232,192.168.11.128,1696,1679,1,0,1696,0,0,0,0,0,0,0
143.252.56.232,192.168.11.128,2051,2021,1,0,2051,0,0,0,0,0,0,0
143.252.56.232,192.168.11.128,2169,2134,1,0,2169,0,0,0,0,0,0,0
143.252.56.232,192.168.11.128,1883,1859,1,0,1883,0,0,0,0,0,0,0
143.252.56.232,192.168.11.128,2134,2094,1,0,2134,0,0,0,0,0,0,0
143.252.56.232,192.168.11.128,2202,2175,1,0,2202,0,0,0,0,0,0,0
143.252.56.232,192.168.11.128,1998,1971,1,0,1998,0,0,0,0,0,0,0
143.252.56.232,192.168.11.128,2166,2127,1,0,2166,0,0,0,0,0,0,0
143.252.56.232,192.168.11.128,2165,2134,1,0,2165,0,0,0,0,0,0,0
